Item,Price
Snacks:Idhiyam Tanjur Mixture,38.00
Snacks:Idhiyam Tapioca Chips 170 GmsX,38.00
Snacks:Idhiyam Tikha Ganthiya,60.00
Snacks:Idhiyam Trissur Mixture,35.00
Snacks:Idhiyam Udupi Mixture,35.00
Snacks:Idhiyam White Mixture,35.00
Snacks:Jalebi,40.00
Snacks:Kaju Katri,110.00
Snacks:Kaju Roll,120.00
Snacks:Kerala mixture 200 Gms.,53.00
Snacks:Matthi,55.00
Snacks:Milk Cakes,98.00
Snacks:Moori - Mamra,32.00
Snacks:Namakpara,50.00
Snacks:Nanak - Gulab Jamun,64.00
Snacks:Orange Para,40.00
Snacks:Pineapple Para,40.00
Snacks:Pocky Cracker Family Pack,15.00
Snacks:Pocky Cracker Regular Pack,14.00
Snacks:Rassogulla 12 Packs,28.00
Snacks:Real Snacks,32.00
Snacks:Sakkar para Sweet,50.00
Snacks:Yan Yan Cracker,12.00
Snake Beans,85.00
Snake Gourd 30Lbs.,65.00
Snow Peas,0.00
Sona Masoori Rice 2 X 20 Lbs. L,28.00
Soogrim-Jamaican Sauce,36.00
Soups,0.00
Soups:Hot & Spicy,9.00
Soups:Spicy Shrimp,9.00
Sour Tamarind Box 454 Gms. X 16,65.00
Soy Beans Leafs,0.00
Spicy Sea Food Sauce 24 X 290 M,35.00
Spinach,39.00
Spinach Baby,48.00
Spinach Loose,33.00
Splitz Tamarind Concentrate,96.00
Spoon White,14.00
Sriracha Chili Sauce 17oz,54.00
Sriracha Chili Sauce 28 oz,69.00
Sriracha Chili Sauce 9oz,45.00
Straw Coconut,35.00
Strawberry Candy 12.3 X 30 Bags,49.00
Strawberry Clamshell 8 X 1 Lbs.,15.00
String Beans,22.00
Sugar,25.00
Sugar cane Juice 24 X 300 Ml.,38.00
Sugar Cane Stick Lrg.,24.00
Sugarcan(Lrg) Can 12 X 48 Oz.,55.00
Sugarcan(Med) Can,55.00
Sugarcan(Sml) Can,55.00
Summer Squash,36.00
Suran,170.00
Sweet,3.75
Sweet Chillie Sauce 12 X32  Oz.,47.00
Sweet Lime,32.00
Sweet Peas,19.00
Sweet Potato,59.00
Sweet Tamarind Box 454 Gms. X 1,78.00
Tamarind Candy  spicy 100 X 3.5,112.50
Tamarind Candy 100 X  3.5oz.,112.50
Tamarind Loose,59.00
Tamarind Paste 16oz,130.00
Tamarind Paste 200 Gms. X 100,115.00
Tamarind Paste 400 Gms. X 50,120.00
Tar - Cucumber,55.00
Taro Leaves,39.00
Tea Cookies Hoque,30.00
Thai Salad Dressing,37.00
Thai Sweet Sour Stir fry 320 G,45.00
Tinda,85.00
Tindora,69.00
Toddy Palm in Syrup,68.00
Tomato,30.00
Tomato baby,10.00
Tomato Beef,5.00
Tomato Green,25.00
Tomato Plants,20.00
Tomato Plants -  Beef,6.00
Tomato Steam,12.00
Tortillas Flour 12 X 12 Pcs.,53.00
Toucan Coconut Milk Drink 12 /9,12.00
Trash Bag,0.00
Tree Tomatoes,36.00
Tulsi - Fresh,25.00
Tulsi Big Plant,10.00
Tuong Chili Garlic Sauce 18 oz,45.00
Tuong Chili Garlic Sauce 3/1 ga,42.00
Tuong Chili Garlic Saucel 8 oz,42.00
Turia - Chinese Okra,59.00
Turia - Local,56.00
Turmeric White,110.00
Turmeric White - FIJI,130.00
Turmeric Yellow,98.00
Turmeric Yellow - FIJI,95.00
Turmeric Yellow Fiji,140.00
Turnip,35.00
Tuver Fresh,69.00
USDA Inspection,0.00
Uttapaum Mix,15.00
Valor - Broad,78.00
Valor - Long Florida,79.00
Valor - Purple 20 Lbs.,85.00
Valor - Purple 25 Lb.,112.50
Valor - Round Dominican,90.00
valor - Round Florida 20 Lbs.,75.00
Valor - White,105.00
Valor Beans 20Lbs.,65.00
Valor Plants,28.00
Vegetable Ghee 1 Lb. X 24Ctn.,48.00
Vegetable Ghee 2 Lb. X 12Ctn.,38.00
Vegetable Ghee 5 Lb. X 6 Ctn.,36.00
Vegetable Roll - Big roll Plast,28.00
Vegetable Roll - Plastic Bag,16.00
Verdolaga,25.00
visarjan GaneshJi,15.00
Wai Wai Vermecelli,29.00
Water Spinach,49.00
Watercress,26.00
Weri Weri Plants,28.00
Win Beans,80.00
Winter Melon,39.00
Yam Brazil - Cuscus,78.00
Yam Costa Rican,65.00
Yam Leaf,39.00
Yellow Noodles 10 X 5 Lbs.,90.00
Yu Choi,34.00
Yucca,34.00
Yucca Leafs,42.00
Yucca Leaves,42.00
Zed Black Dhoop Cones,10.00
Zed Black Dhoop Stick,10.00
Zed Black Gauved Dhoop Cup,4.00
Zed Black Nag Champa,180.00
Zed Black Wax Gift Set,9.00
Zed Luxury Agarbatti 36 Doz.,108.00
Zed Premium Agarbatti 36 Ps,252.00
Zed Regular Agarbatti,96.00
Zed Regular Agarbatti 12 Pcs.,18.00
Zuchini(Green Squash),18.00
Inspection USDA,0.00
